2024 Parenteral and Enteral Nutrition  Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
January 2024 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,MOD,MOD2,AL(NR),AL(R),AR(NR),AR(R),AZ(NR),AZ(R),CA(NR),CA(R),CO(NR),CO(R),CT(NR),CT(R),DC(NR),DC(R),DE(NR),DE(R),FL(NR),FL(R),GA(NR),GA(R),IA(NR),IA(R),ID(NR),ID(R),IL(NR),IL(R),IN(NR),IN(R),KS(NR),KS(R),KY(NR),KY(R),LA(NR),LA(R),MA(NR),MA(R),MD(NR),MD(R),ME(NR),ME(R),MI(NR),MI(R),MN(NR),MN(R),MO(NR),MO(R),MS(NR),MS(R),MT(NR),MT(R),NC(NR),NC(R),ND(NR),ND(R),NE(NR),NE(R),NH(NR),NH(R),NJ(NR),NJ(R),NM(NR),NM(R),NV(NR),NV(R),NY(NR),NY(R),OH(NR),OH(R),OK(NR),OK(R),OR(NR),OR(R),PA(NR),PA(R),RI(NR),RI(R),SC(NR),SC(R),SD(NR),SD(R),TN(NR),TN(R),TX(NR),TX(R),UT(NR),UT(R),VA(NR),VA(R),VT(NR),VT(R),WA(NR),WA(R),WI(NR),WI(R),WV(NR),WV(R),WY(NR),WY(R),AK(NR),AK(R),HI(NR),HI(R),PR(NR),PR(R),VI(NR),VI(R),Desc
B4152,,,0.37,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.39,0.56,0.38,0.56,0.36,0.56,0.36,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.39,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.38,0.56,0.36,0.56,0.38,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.39,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.38,0.56,0.36,0.56,0.37,0.56,0.37,0.56,0.36,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.36,0.56,0.38,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.39,0.56,0.37,0.56,0.38,0.56,0.37,0.56,0.37,0.56,0.37,0.56,0.39,0.56,0.56,0.00,0.56,0.00,0.56,0.00,0.56,0.00,Ef calorie dense>/=1.5kcal
B4153,,,1.47,2.00,1.47,2.00,1.42,2.00,1.50,2.00,1.51,2.00,1.37,2.00,1.33,2.00,1.33,2.00,1.47,2.00,1.47,2.00,1.49,2.00,1.51,2.00,1.43,2.00,1.43,2.00,1.49,2.00,1.47,2.00,1.47,2.00,1.37,2.00,1.33,2.00,1.37,2.00,1.43,2.00,1.49,2.00,1.49,2.00,1.47,2.00,1.51,2.00,1.47,2.00,1.49,2.00,1.49,2.00,1.37,2.00,1.33,2.00,1.42,2.00,1.50,2.00,1.33,2.00,1.43,2.00,1.42,2.00,1.50,2.00,1.33,2.00,1.37,2.00,1.47,2.00,1.49,2.00,1.47,2.00,1.42,2.00,1.51,2.00,1.47,2.00,1.37,2.00,1.50,2.00,1.43,2.00,1.47,2.00,1.51,2.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,Ef hydrolyzed/amino acids
B4154,,,0.80,1.20,0.80,1.20,0.80,1.20,0.78,1.20,0.81,1.20,0.77,1.20,0.75,1.20,0.75,1.20,0.80,1.20,0.80,1.20,0.81,1.20,0.81,1.20,0.78,1.20,0.78,1.20,0.81,1.20,0.80,1.20,0.80,1.20,0.77,1.20,0.75,1.20,0.77,1.20,0.78,1.20,0.81,1.20,0.81,1.20,0.80,1.20,0.81,1.20,0.80,1.20,0.81,1.20,0.81,1.20,0.77,1.20,0.75,1.20,0.80,1.20,0.78,1.20,0.75,1.20,0.78,1.20,0.80,1.20,0.78,1.20,0.75,1.20,0.77,1.20,0.80,1.20,0.81,1.20,0.80,1.20,0.80,1.20,0.81,1.20,0.80,1.20,0.77,1.20,0.78,1.20,0.78,1.20,0.80,1.20,0.81,1.20,1.21,0.00,1.21,0.00,1.21,0.00,1.21,0.00,Ef spec metabolic noninherit
B4155,,,0.86,1.08,0.86,1.08,0.89,1.08,0.87,1.08,0.95,1.08,0.91,1.08,0.85,1.08,0.85,1.08,0.86,1.08,0.86,1.08,0.86,1.08,0.95,1.08,0.84,1.08,0.84,1.08,0.86,1.08,0.86,1.08,0.86,1.08,0.91,1.08,0.85,1.08,0.91,1.08,0.84,1.08,0.86,1.08,0.86,1.08,0.86,1.08,0.95,1.08,0.86,1.08,0.86,1.08,0.86,1.08,0.91,1.08,0.85,1.08,0.89,1.08,0.87,1.08,0.85,1.08,0.84,1.08,0.89,1.08,0.87,1.08,0.85,1.08,0.91,1.08,0.86,1.08,0.86,1.08,0.86,1.08,0.89,1.08,0.95,1.08,0.86,1.08,0.91,1.08,0.87,1.08,0.84,1.08,0.86,1.08,0.95,1.08,1.17,0.00,1.17,0.00,1.17,0.00,1.17,0.00,Ef incomplete/modular
B4164,,,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,24.08,0.00,Parenteral 50% dextrose solu
B4168,,,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,35.12,0.00,Parenteral sol amino acid 3.
B4176,,,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,67.94,0.00,Parenteral sol amino acid 7-
B4178,,,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,81.53,0.00,Parenteral sol amino acid >
B4180,,,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,34.57,0.00,Parenteral sol carb > 50%
B4185,,,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,Pn soln nos 10 grams lipids
