2024 Parenteral and Enteral Nutrition  Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
January 2024 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,MOD,MOD2,AL(NR),AL(R),AR(NR),AR(R),AZ(NR),AZ(R),CA(NR),CA(R),CO(NR),CO(R),CT(NR),CT(R),DC(NR),DC(R),DE(NR),DE(R),FL(NR),FL(R),GA(NR),GA(R),IA(NR),IA(R),ID(NR),ID(R),IL(NR),IL(R),IN(NR),IN(R),KS(NR),KS(R),KY(NR),KY(R),LA(NR),LA(R),MA(NR),MA(R),MD(NR),MD(R),ME(NR),ME(R),MI(NR),MI(R),MN(NR),MN(R),MO(NR),MO(R),MS(NR),MS(R),MT(NR),MT(R),NC(NR),NC(R),ND(NR),ND(R),NE(NR),NE(R),NH(NR),NH(R),NJ(NR),NJ(R),NM(NR),NM(R),NV(NR),NV(R),NY(NR),NY(R),OH(NR),OH(R),OK(NR),OK(R),OR(NR),OR(R),PA(NR),PA(R),RI(NR),RI(R),SC(NR),SC(R),SD(NR),SD(R),TN(NR),TN(R),TX(NR),TX(R),UT(NR),UT(R),VA(NR),VA(R),VT(NR),VT(R),WA(NR),WA(R),WI(NR),WI(R),WV(NR),WV(R),WY(NR),WY(R),AK(NR),AK(R),HI(NR),HI(R),PR(NR),PR(R),VI(NR),VI(R),Desc
B4187,,,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,15.91,0.00,"Omegaven, 10 grams lipids"
B4189,,,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,251.86,0.00,Parenteral sol amino acid &
B4193,,,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,325.43,0.00,Parenteral sol 52-73 gm prot
B4197,,,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,396.21,0.00,Parenteral sol 74-100 gm pro
B4199,,,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,452.73,0.00,Parenteral sol > 100gm prote
B4216,,,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,10.94,0.00,Parenteral nutrition additiv
B4220,,,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,11.34,0.00,Parenteral supply kit premix
B4222,,,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,13.99,0.00,Parenteral supply kit homemi
B4224,,,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,35.42,0.00,Parenteral administration ki
B5000,,,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,16.85,0.00,Parenteral sol renal-amirosy
B5100,,,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,6.58,0.00,Parenteral solution hepatic
B9002,MS,,38.74,57.90,38.74,57.90,37.31,57.90,36.80,57.90,37.01,57.90,36.26,57.90,35.72,57.90,35.72,57.90,38.74,57.90,38.74,57.90,37.31,57.90,37.01,57.90,37.41,57.90,37.41,57.90,37.31,57.90,38.74,57.90,38.74,57.90,36.26,57.90,35.72,57.90,36.26,57.90,37.41,57.90,37.31,57.90,37.31,57.90,38.74,57.90,37.01,57.90,38.74,57.90,37.31,57.90,37.31,57.90,36.26,57.90,35.72,57.90,37.31,57.90,36.80,57.90,35.72,57.90,37.41,57.90,37.31,57.90,36.80,57.90,35.72,57.90,36.26,57.90,38.74,57.90,37.31,57.90,38.74,57.90,37.31,57.90,37.01,57.90,38.74,57.90,36.26,57.90,36.80,57.90,37.41,57.90,38.74,57.90,37.01,57.90,58.89,0.00,58.89,0.00,58.89,0.00,58.89,0.00,Enter nutr inf pump any type
B9002,NU,,774.75,1182.39,774.75,1182.39,746.23,1182.39,735.98,1182.39,740.22,1182.39,725.20,1182.39,714.44,1182.39,714.44,1182.39,774.75,1182.39,774.75,1182.39,746.25,1182.39,740.22,1182.39,748.19,1182.39,748.19,1182.39,746.25,1182.39,774.75,1182.39,774.75,1182.39,725.20,1182.39,714.44,1182.39,725.20,1182.39,748.19,1182.39,746.25,1182.39,746.25,1182.39,774.75,1182.39,740.22,1182.39,774.75,1182.39,746.25,1182.39,746.25,1182.39,725.20,1182.39,714.44,1182.39,746.23,1182.39,735.98,1182.39,714.44,1182.39,748.19,1182.39,746.23,1182.39,735.98,1182.39,714.44,1182.39,725.20,1182.39,774.75,1182.39,746.25,1182.39,774.75,1182.39,746.23,1182.39,740.22,1182.39,774.75,1182.39,725.20,1182.39,735.98,1182.39,748.19,1182.39,774.75,1182.39,740.22,1182.39,1202.13,0.00,1202.13,0.00,1202.13,0.00,1202.13,0.00,Enter nutr inf pump any type
B9002,RR,,77.48,115.81,77.48,115.81,74.62,115.81,73.60,115.81,74.02,115.81,72.52,115.81,71.44,115.81,71.44,115.81,77.48,115.81,77.48,115.81,74.63,115.81,74.02,115.81,74.82,115.81,74.82,115.81,74.63,115.81,77.48,115.81,77.48,115.81,72.52,115.81,71.44,115.81,72.52,115.81,74.82,115.81,74.63,115.81,74.63,115.81,77.48,115.81,74.02,115.81,77.48,115.81,74.63,115.81,74.63,115.81,72.52,115.81,71.44,115.81,74.62,115.81,73.60,115.81,71.44,115.81,74.82,115.81,74.62,115.81,73.60,115.81,71.44,115.81,72.52,115.81,77.48,115.81,74.63,115.81,77.48,115.81,74.62,115.81,74.02,115.81,77.48,115.81,72.52,115.81,73.60,115.81,74.82,115.81,77.48,115.81,74.02,115.81,117.78,0.00,117.78,0.00,117.78,0.00,117.78,0.00,Enter nutr inf pump any type
B9002,UE,,581.07,886.80,581.07,886.80,559.68,886.80,551.99,886.80,555.16,886.80,543.90,886.80,535.83,886.80,535.83,886.80,581.07,886.80,581.07,886.80,559.69,886.80,555.16,886.80,561.14,886.80,561.14,886.80,559.69,886.80,581.07,886.80,581.07,886.80,543.90,886.80,535.83,886.80,543.90,886.80,561.14,886.80,559.69,886.80,559.69,886.80,581.07,886.80,555.16,886.80,581.07,886.80,559.69,886.80,559.69,886.80,543.90,886.80,535.83,886.80,559.68,886.80,551.99,886.80,535.83,886.80,561.14,886.80,559.68,886.80,551.99,886.80,535.83,886.80,543.90,886.80,581.07,886.80,559.69,886.80,581.07,886.80,559.68,886.80,555.16,886.80,581.07,886.80,543.90,886.80,551.99,886.80,561.14,886.80,581.07,886.80,555.16,886.80,901.60,0.00,901.60,0.00,901.60,0.00,901.60,0.00,Enter nutr inf pump any type
B9004,MS,,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,Parenteral infus pump portab
B9004,NU,,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,Parenteral infus pump portab
B9004,RR,,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,Parenteral infus pump portab
B9004,UE,,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,Parenteral infus pump portab
B9006,MS,,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,282.96,0.00,Parenteral infus pump statio
B9006,NU,,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,3575.01,0.00,Parenteral infus pump statio
B9006,RR,,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,565.93,0.00,Parenteral infus pump statio
B9006,UE,,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,2681.25,0.00,Parenteral infus pump statio
E0776,NU,BA,62.49,97.75,62.49,97.75,58.67,97.75,61.77,97.75,58.65,97.75,61.78,97.75,60.60,97.75,60.60,97.75,62.49,97.75,62.49,97.75,60.37,97.75,58.65,97.75,60.97,97.75,60.97,97.75,60.37,97.75,62.49,97.75,62.49,97.75,61.78,97.75,60.60,97.75,61.78,97.75,60.97,97.75,60.37,97.75,60.37,97.75,62.49,97.75,58.65,97.75,62.49,97.75,60.37,97.75,60.37,97.75,61.78,97.75,60.60,97.75,58.67,97.75,61.77,97.75,60.60,97.75,60.97,97.75,58.67,97.75,61.77,97.75,60.60,97.75,61.78,97.75,62.49,97.75,60.37,97.75,62.49,97.75,58.67,97.75,58.65,97.75,62.49,97.75,61.78,97.75,61.77,97.75,60.97,97.75,62.49,97.75,58.65,97.75,97.75,0.00,97.75,0.00,97.75,0.00,97.75,0.00,Iv pole
E0776,NU,KE,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,107.07,107.07,0.00,107.07,0.00,107.07,0.00,107.07,0.00,Iv pole
E0776,RR,BA,6.25,19.60,6.25,19.60,5.87,19.60,6.18,19.60,5.87,19.60,6.18,19.60,6.06,19.60,6.06,19.60,6.25,19.60,6.25,19.60,6.04,19.60,5.87,19.60,6.10,19.60,6.10,19.60,6.04,19.60,6.25,19.60,6.25,19.60,6.18,19.60,6.06,19.60,6.18,19.60,6.10,19.60,6.04,19.60,6.04,19.60,6.25,19.60,5.87,19.60,6.25,19.60,6.04,19.60,6.04,19.60,6.18,19.60,6.06,19.60,5.87,19.60,6.18,19.60,6.06,19.60,6.10,19.60,5.87,19.60,6.18,19.60,6.06,19.60,6.18,19.60,6.25,19.60,6.04,19.60,6.25,19.60,5.87,19.60,5.87,19.60,6.25,19.60,6.18,19.60,6.18,19.60,6.10,19.60,6.25,19.60,5.87,19.60,19.60,0.00,19.60,0.00,19.60,0.00,19.60,0.00,Iv pole
E0776,RR,KE,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,21.96,21.96,0.00,21.96,0.00,21.96,0.00,21.96,0.00,Iv pole
E0776,UE,BA,46.87,73.33,46.87,73.33,44.00,73.33,46.33,73.33,43.99,73.33,46.34,73.33,45.45,73.33,45.45,73.33,46.87,73.33,46.87,73.33,45.28,73.33,43.99,73.33,45.73,73.33,45.73,73.33,45.28,73.33,46.87,73.33,46.87,73.33,46.34,73.33,45.45,73.33,46.34,73.33,45.73,73.33,45.28,73.33,45.28,73.33,46.87,73.33,43.99,73.33,46.87,73.33,45.28,73.33,45.28,73.33,46.34,73.33,45.45,73.33,44.00,73.33,46.33,73.33,45.45,73.33,45.73,73.33,44.00,73.33,46.33,73.33,45.45,73.33,46.34,73.33,46.87,73.33,45.28,73.33,46.87,73.33,44.00,73.33,43.99,73.33,46.87,73.33,46.34,73.33,46.33,73.33,45.73,73.33,46.87,73.33,43.99,73.33,73.33,0.00,73.33,0.00,73.33,0.00,73.33,0.00,Iv pole
