"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2026 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
A4236,NU,,D,IN,0.00,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,1.16,0.00,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0.00,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,280.71,0.00,Adju cgm supply allowance
A4239,,,D,SU,273.28,232.29,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,273.28,0.00,Non-adju cgm supply allow
A4239,KF,,D,SU,317.97,270.27,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,317.97,0.00,Non-adju cgm supply allow
A4253,NU,,D,IN,0.00,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,8.32,0.00,Blood glucose/reagent strips
A4255,,,D,SU,5.85,4.97,5.85,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.58,0.00,5.58,0.00,5.75,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.58,0.00,5.75,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.70,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.85,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.85,0.00,5.58,0.00,5.58,0.00,5.85,0.00,5.85,0.00,5.58,0.00,5.85,0.00,6.02,0.00,6.47,0.00,6.11,0.00,5.85,0.00,Glucose monitor platforms
A4256,,,D,SU,0.00,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,3.38,0.00,Calibrator solution/chips
A4257,,,D,SU,18.19,15.46,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,18.19,0.00,21.83,0.00,18.19,0.00,Replace lensshield cartridge
A4258,,,D,SU,0.00,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,2.12,0.00,Lancet device each
A4259,,,D,SU,0.00,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,1.42,0.00,Lancets per box
