"Durable Medical Equipment,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-continental areas ***,,,,
"Prosthetics, Orthotics, and Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Not subject to ceiling and floor),,,,
(DMEPOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2026 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,AL (NR),AL (R),AR (NR),AR (R),AZ (NR),AZ (R),CA (NR),CA (R),CO (NR),CO (R),CT (NR),CT (R),DC (NR),DC (R),DE (NR),DE (R),FL (NR),FL (R),GA (NR),GA (R),IA (NR),IA (R),ID (NR),ID (R),IL (NR),IL (R),IN (NR),IN (R),KS (NR),KS (R),KY (NR),KY (R),LA (NR),LA (R),MA (NR),MA (R),MD (NR),MD (R),ME (NR),ME (R),MI (NR),MI (R),MN (NR),MN (R),MO (NR),MO (R),MS (NR),MS (R),MT (NR),MT (R),NC (NR),NC (R),ND (NR),ND (R),NE (NR),NE (R),NH (NR),NH (R),NJ (NR),NJ (R),NM (NR),NM (R),NV (NR),NV (R),NY (NR),NY (R),OH (NR),OH (R),OK (NR),OK (R),OR (NR),OR (R),PA (NR),PA (R),RI (NR),RI (R),SC (NR),SC (R),SD (NR),SD (R),TN (NR),TN (R),TX (NR),TX (R),UT (NR),UT (R),VA (NR),VA (R),VT (NR),VT (R),WA (NR),WA (R),WI (NR),WI (R),WV (NR),WV (R),WY (NR),WY (R),AK (NR),AK (R),HI (NR),HI (R),PR (NR),PR (R),VI (NR),VI (R),Description
E0950,RR,KU,D,IN,12.79,10.87,12.79,0.00,10.87,0.00,12.79,0.00,11.41,0.00,12.79,0.00,12.79,0.00,12.79,0.00,12.79,0.00,10.87,0.00,10.87,0.00,10.87,0.00,12.79,0.00,12.79,0.00,12.79,0.00,10.87,0.00,12.79,0.00,10.87,0.00,10.87,0.00,12.79,0.00,10.87,0.00,12.79,0.00,10.87,0.00,10.87,0.00,12.79,0.00,12.20,0.00,12.79,0.00,12.79,0.00,10.87,0.00,10.87,0.00,12.79,0.00,12.79,0.00,12.79,0.00,10.87,0.00,10.87,0.00,12.79,0.00,12.79,0.00,12.79,0.00,10.87,0.00,10.87,0.00,12.79,0.00,12.79,0.00,12.79,0.00,10.87,0.00,12.79,0.00,10.87,0.00,12.79,0.00,12.79,0.00,10.87,0.00,12.79,0.00,22.57,0.00,13.90,0.00,17.55,0.00,10.87,0.00,Tray
E0950,UE,,D,IN,0.00,0.00,70.88,86.30,70.88,79.12,69.74,79.12,67.15,81.27,72.91,86.30,66.58,86.30,66.25,86.30,66.25,86.30,70.88,79.12,70.88,79.12,72.32,79.12,72.91,86.30,71.39,86.30,71.39,86.30,72.32,79.12,70.88,86.30,70.88,79.12,66.58,79.12,66.25,86.30,66.58,79.12,71.39,86.30,72.32,79.20,72.32,79.12,70.88,86.30,72.91,84.20,70.88,86.30,72.32,86.30,72.32,79.12,66.58,79.12,66.25,86.30,69.74,86.30,67.15,79.12,66.25,79.12,71.39,79.12,69.74,86.30,67.15,86.30,66.25,86.30,66.58,79.12,70.88,79.12,72.32,86.30,70.88,86.30,69.74,86.30,72.91,79.12,70.88,86.30,66.58,79.12,67.15,86.30,71.39,86.30,70.88,79.12,72.91,86.30,123.11,0.00,90.46,0.00,91.00,0.00,79.12,0.00,Tray
E0950,UE,KE,D,IN,0.00,0.00,0.00,93.25,0.00,85.02,0.00,85.02,0.00,87.48,0.00,93.25,0.00,93.25,0.00,93.25,0.00,93.25,0.00,85.02,0.00,85.02,0.00,85.02,0.00,93.25,0.00,93.25,0.00,93.25,0.00,85.02,0.00,93.25,0.00,85.02,0.00,85.02,0.00,93.25,0.00,85.02,0.00,93.25,0.00,85.11,0.00,85.02,0.00,93.25,0.00,90.84,0.00,93.25,0.00,93.25,0.00,85.02,0.00,85.02,0.00,93.25,0.00,93.25,0.00,85.02,0.00,85.02,0.00,85.02,0.00,93.25,0.00,93.25,0.00,93.25,0.00,85.02,0.00,85.02,0.00,93.25,0.00,93.25,0.00,93.25,0.00,85.02,0.00,93.25,0.00,85.02,0.00,93.25,0.00,93.25,0.00,85.02,0.00,93.25,135.39,0.00,98.01,0.00,98.63,0.00,85.02,0.00,Tray
E0950,UE,KU,D,IN,95.77,81.40,95.77,0.00,81.40,0.00,81.40,0.00,85.71,0.00,95.77,0.00,95.77,0.00,95.77,0.00,95.77,0.00,81.40,0.00,81.40,0.00,81.40,0.00,95.77,0.00,95.77,0.00,95.77,0.00,81.40,0.00,95.77,0.00,81.40,0.00,81.40,0.00,95.77,0.00,81.40,0.00,95.77,0.00,81.55,0.00,81.40,0.00,95.77,0.00,91.57,0.00,95.77,0.00,95.77,0.00,81.40,0.00,81.40,0.00,95.77,0.00,95.77,0.00,81.40,0.00,81.40,0.00,81.40,0.00,95.77,0.00,95.77,0.00,95.77,0.00,81.40,0.00,81.40,0.00,95.77,0.00,95.77,0.00,95.77,0.00,81.40,0.00,95.77,0.00,81.40,0.00,95.77,0.00,95.77,0.00,81.40,0.00,95.77,0.00,169.39,0.00,104.11,0.00,105.15,0.00,81.40,0.00,Tray
E0951,NU,,D,IN,0.00,0.00,16.36,18.74,16.36,18.74,15.11,20.49,16.38,20.49,16.83,18.96,15.04,20.49,14.88,20.48,14.88,20.49,16.36,20.49,16.36,20.49,16.72,20.49,16.83,20.49,16.74,20.11,16.74,20.49,16.72,20.49,16.36,19.07,16.36,18.74,15.04,19.32,14.88,20.49,15.04,19.32,16.74,19.10,16.72,19.07,16.72,20.49,16.36,18.74,16.83,18.74,16.36,19.72,16.72,20.49,16.72,20.28,15.04,19.30,14.88,20.49,15.11,20.49,16.38,20.49,14.88,20.49,16.74,18.74,15.11,20.49,16.38,20.49,14.88,20.49,15.04,20.49,16.36,20.49,16.72,20.49,16.36,19.38,15.11,18.74,16.83,18.74,16.36,20.49,15.04,19.31,16.38,20.49,16.74,19.86,16.36,18.74,16.83,20.49,42.44,0.00,33.93,0.00,21.75,0.00,20.49,0.00,Loop heel
E0951,NU,KE,D,IN,0.00,0.00,0.00,20.18,0.00,20.18,0.00,22.18,0.00,22.18,0.00,20.43,0.00,22.18,0.00,22.16,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,21.74,0.00,22.18,0.00,22.18,0.00,20.55,0.00,20.18,0.00,20.84,0.00,22.18,0.00,20.84,0.00,20.58,0.00,20.55,0.00,22.18,0.00,20.18,0.00,20.18,0.00,21.30,0.00,22.18,0.00,21.94,0.00,20.82,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,20.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,22.18,0.00,20.91,0.00,20.18,0.00,20.18,0.00,22.18,0.00,20.83,0.00,22.18,0.00,21.46,0.00,20.18,0.00,22.18,47.31,0.00,37.57,0.00,23.63,0.00,22.18,0.00,Loop heel
E0951,NU,KU,D,IN,23.33,19.83,19.83,0.00,19.83,0.00,23.33,0.00,23.33,0.00,20.26,0.00,23.33,0.00,23.31,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,22.55,0.00,23.33,0.00,23.33,0.00,20.48,0.00,19.83,0.00,20.96,0.00,23.33,0.00,20.96,0.00,20.53,0.00,20.48,0.00,23.33,0.00,19.83,0.00,19.83,0.00,21.81,0.00,23.33,0.00,22.91,0.00,20.92,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,19.83,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,23.33,0.00,21.07,0.00,19.83,0.00,19.83,0.00,23.33,0.00,20.94,0.00,23.33,0.00,22.07,0.00,19.83,0.00,23.33,0.00,67.21,0.00,50.18,0.00,25.85,0.00,23.33,0.00,Loop heel
E0951,RR,,D,IN,0.00,0.00,1.64,1.90,1.64,1.90,1.51,2.08,1.64,2.08,1.68,1.90,1.50,2.08,1.49,2.05,1.49,2.05,1.64,2.08,1.64,2.08,1.67,2.08,1.68,2.08,1.68,2.01,1.68,2.08,1.67,2.08,1.64,1.91,1.64,1.90,1.50,2.08,1.49,2.08,1.50,2.08,1.68,1.91,1.67,1.91,1.67,2.08,1.64,1.90,1.68,1.90,1.64,1.99,1.67,2.08,1.67,2.04,1.50,2.08,1.49,2.05,1.51,2.08,1.64,2.08,1.49,2.08,1.68,1.90,1.51,2.08,1.64,2.08,1.49,2.05,1.50,2.08,1.64,2.08,1.67,2.08,1.64,1.94,1.51,1.90,1.68,1.90,1.64,2.06,1.50,1.93,1.64,2.08,1.68,2.08,1.64,1.90,1.68,2.08,4.25,0.00,3.41,0.00,2.49,0.00,2.08,0.00,Loop heel
E0951,RR,KE,D,IN,0.00,0.00,0.00,2.05,0.00,2.05,0.00,2.26,0.00,2.26,0.00,2.05,0.00,2.26,0.00,2.22,0.00,2.22,0.00,2.26,0.00,2.26,0.00,2.26,0.00,2.26,0.00,2.18,0.00,2.26,0.00,2.26,0.00,2.06,0.00,2.05,0.00,2.26,0.00,2.26,0.00,2.26,0.00,2.06,0.00,2.06,0.00,2.26,0.00,2.05,0.00,2.05,0.00,2.15,0.00,2.26,0.00,2.21,0.00,2.26,0.00,2.22,0.00,2.26,0.00,2.26,0.00,2.26,0.00,2.05,0.00,2.26,0.00,2.26,0.00,2.22,0.00,2.26,0.00,2.26,0.00,2.26,0.00,2.09,0.00,2.05,0.00,2.05,0.00,2.24,0.00,2.08,0.00,2.26,0.00,2.26,0.00,2.05,0.00,2.26,4.74,0.00,3.78,0.00,2.73,0.00,2.26,0.00,Loop heel
E0951,RR,KU,D,IN,2.39,2.03,2.03,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.39,0.00,2.33,0.00,2.33,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.24,0.00,2.39,0.00,2.39,0.00,2.05,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.05,0.00,2.05,0.00,2.39,0.00,2.03,0.00,2.03,0.00,2.19,0.00,2.39,0.00,2.31,0.00,2.39,0.00,2.33,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.33,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.11,0.00,2.03,0.00,2.03,0.00,2.36,0.00,2.10,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.39,0.00,6.72,0.00,5.06,0.00,3.22,0.00,2.39,0.00,Loop heel
E0951,UE,,D,IN,0.00,0.00,12.27,14.05,12.27,14.05,11.33,15.36,12.29,15.36,12.63,14.23,11.28,15.36,11.16,15.34,11.16,15.36,12.27,15.36,12.27,15.36,12.54,15.36,12.63,15.36,12.56,15.08,12.56,15.36,12.54,15.36,12.27,14.30,12.27,14.05,11.28,14.48,11.16,15.36,11.28,14.49,12.56,14.34,12.54,14.30,12.54,15.36,12.27,14.05,12.63,14.05,12.27,14.80,12.54,15.36,12.54,15.21,11.28,14.47,11.16,15.36,11.33,15.36,12.29,15.36,11.16,15.36,12.56,14.05,11.33,15.36,12.29,15.36,11.16,15.36,11.28,15.36,12.27,15.36,12.54,15.36,12.27,14.53,11.33,14.05,12.63,14.05,12.27,15.36,11.28,14.48,12.29,15.36,12.56,14.91,12.27,14.05,12.63,15.36,31.83,0.00,25.45,0.00,16.32,0.00,15.36,0.00,Loop heel
E0951,UE,KE,D,IN,0.00,0.00,0.00,15.13,0.00,15.13,0.00,16.63,0.00,16.63,0.00,15.33,0.00,16.63,0.00,16.61,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.30,0.00,16.63,0.00,16.63,0.00,15.41,0.00,15.13,0.00,15.62,0.00,16.63,0.00,15.63,0.00,15.46,0.00,15.41,0.00,16.63,0.00,15.13,0.00,15.13,0.00,15.99,0.00,16.63,0.00,16.46,0.00,15.61,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,15.13,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,16.63,0.00,15.68,0.00,15.13,0.00,15.13,0.00,16.63,0.00,15.62,0.00,16.63,0.00,16.11,0.00,15.13,0.00,16.63,35.48,0.00,28.18,0.00,17.72,0.00,16.63,0.00,Loop heel
E0951,UE,KU,D,IN,17.48,14.86,14.86,0.00,14.86,0.00,17.48,0.00,17.48,0.00,15.21,0.00,17.48,0.00,17.44,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,16.91,0.00,17.48,0.00,17.48,0.00,15.35,0.00,14.86,0.00,15.74,0.00,17.48,0.00,15.75,0.00,15.41,0.00,15.35,0.00,17.48,0.00,14.86,0.00,14.86,0.00,16.37,0.00,17.48,0.00,17.18,0.00,15.70,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,14.86,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,17.48,0.00,15.83,0.00,14.86,0.00,14.86,0.00,17.48,0.00,15.74,0.00,17.48,0.00,16.58,0.00,14.86,0.00,17.48,0.00,50.40,0.00,37.63,0.00,19.40,0.00,17.48,0.00,Loop heel
E0952,NU,,D,IN,0.00,0.00,19.67,19.67,20.74,21.94,20.74,20.92,19.67,19.67,19.67,19.67,20.74,21.94,20.74,21.94,20.74,21.94,20.74,21.94,19.67,19.67,20.74,21.94,20.74,21.94,20.74,21.14,20.74,20.99,20.74,21.78,19.67,19.67,20.74,21.94,20.74,20.75,20.74,21.94,20.74,20.75,19.67,19.67,19.67,19.67,20.74,21.94,20.74,21.94,19.67,19.67,20.74,21.94,20.74,21.94,20.74,21.42,20.74,20.75,20.74,21.94,20.74,21.94,20.74,21.52,20.74,21.94,19.67,19.67,20.74,21.94,20.74,21.94,20.74,21.94,20.74,21.94,20.74,21.94,20.74,21.94,19.67,19.67,20.70,20.70,19.67,19.67,20.74,21.94,20.74,20.75,20.74,21.94,20.27,20.27,19.67,19.67,20.74,21.94,35.31,0.00,35.63,0.00,23.19,0.00,21.94,0.00,"Toe loop/holder, each"
E0952,NU,KE,D,IN,0.00,0.00,0.00,21.22,0.00,23.62,0.00,22.45,0.00,21.22,0.00,21.22,0.00,23.62,0.00,23.62,0.00,23.62,0.00,23.62,0.00,21.22,0.00,23.62,0.00,23.62,0.00,22.70,0.00,22.54,0.00,23.43,0.00,21.22,0.00,23.62,0.00,22.26,0.00,23.62,0.00,22.26,0.00,21.22,0.00,21.22,0.00,23.62,0.00,23.62,0.00,21.22,0.00,23.62,0.00,23.62,0.00,23.03,0.00,22.26,0.00,23.62,0.00,23.62,0.00,23.14,0.00,23.62,0.00,21.22,0.00,23.62,0.00,23.62,0.00,23.62,0.00,23.62,0.00,23.62,0.00,23.62,0.00,21.22,0.00,22.22,0.00,21.22,0.00,23.62,0.00,22.26,0.00,23.62,0.00,21.87,0.00,21.22,0.00,23.62,38.93,0.00,39.29,0.00,25.05,0.00,23.62,0.00,"Toe loop/holder, each"
E0952,NU,KU,D,IN,23.14,19.67,19.67,0.00,23.14,0.00,21.07,0.00,19.67,0.00,19.67,0.00,23.14,0.00,23.14,0.00,23.14,0.00,23.14,0.00,19.67,0.00,23.14,0.00,23.14,0.00,21.56,0.00,21.25,0.00,22.81,0.00,19.67,0.00,23.14,0.00,20.76,0.00,23.14,0.00,20.76,0.00,19.67,0.00,19.67,0.00,23.14,0.00,23.14,0.00,19.67,0.00,23.14,0.00,23.14,0.00,22.11,0.00,20.76,0.00,23.14,0.00,23.14,0.00,22.31,0.00,23.14,0.00,19.67,0.00,23.14,0.00,23.14,0.00,23.14,0.00,23.14,0.00,23.14,0.00,23.14,0.00,19.67,0.00,20.71,0.00,19.67,0.00,23.14,0.00,20.76,0.00,23.14,0.00,20.27,0.00,19.67,0.00,23.14,0.00,49.89,0.00,50.51,0.00,25.65,0.00,23.14,0.00,"Toe loop/holder, each"
E0952,RR,,D,IN,0.00,0.00,2.04,2.04,2.07,2.24,2.07,2.24,2.04,2.04,2.04,2.04,2.07,2.24,2.07,2.20,2.07,2.20,2.07,2.24,2.04,2.04,2.07,2.24,2.07,2.24,2.07,2.11,2.07,2.10,2.07,2.18,2.04,2.04,2.07,2.24,2.07,2.24,2.07,2.24,2.07,2.24,2.04,2.04,2.04,2.04,2.07,2.24,2.07,2.24,2.04,2.04,2.07,2.24,2.07,2.24,2.07,2.15,2.07,2.24,2.07,2.20,2.07,2.24,2.07,2.24,2.07,2.24,2.04,2.04,2.07,2.24,2.07,2.24,2.07,2.20,2.07,2.24,2.07,2.24,2.07,2.24,2.04,2.04,2.07,2.08,2.04,2.04,2.07,2.24,2.07,2.08,2.07,2.24,2.04,2.04,2.04,2.04,2.07,2.24,3.53,0.00,3.58,0.00,2.65,0.00,2.24,0.00,"Toe loop/holder, each"
E0952,RR,KE,D,IN,0.00,0.00,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.20,0.00,2.20,0.00,2.41,0.00,2.37,0.00,2.37,0.00,2.41,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.26,0.00,2.25,0.00,2.35,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.20,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.32,0.00,2.41,0.00,2.37,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.20,0.00,2.41,0.00,2.41,0.00,2.37,0.00,2.41,0.00,2.41,0.00,2.41,0.00,2.20,0.00,2.23,0.00,2.20,0.00,2.41,0.00,2.23,0.00,2.41,0.00,2.20,0.00,2.20,0.00,2.41,3.90,0.00,3.95,0.00,2.88,0.00,2.41,0.00,"Toe loop/holder, each"
E0952,RR,KU,D,IN,2.39,2.03,2.03,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.03,0.00,2.39,0.00,2.32,0.00,2.32,0.00,2.39,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.14,0.00,2.12,0.00,2.27,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.22,0.00,2.39,0.00,2.32,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.39,0.00,2.39,0.00,2.32,0.00,2.39,0.00,2.39,0.00,2.39,0.00,2.03,0.00,2.09,0.00,2.03,0.00,2.39,0.00,2.09,0.00,2.39,0.00,2.03,0.00,2.03,0.00,2.39,0.00,4.99,0.00,5.08,0.00,3.22,0.00,2.39,0.00,"Toe loop/holder, each"
E0952,UE,,D,IN,0.00,0.00,14.75,14.75,15.56,16.46,15.56,15.69,14.75,14.75,14.75,14.75,15.56,16.46,15.56,16.46,15.56,16.46,15.56,16.46,14.75,14.75,15.56,16.46,15.56,16.46,15.56,15.87,15.56,15.75,15.56,16.34,14.75,14.75,15.56,16.46,15.55,15.55,15.56,16.46,15.55,15.55,15.29,15.29,15.21,15.21,15.56,16.46,15.56,16.46,14.75,14.75,15.56,16.46,15.56,16.46,15.56,16.09,15.55,15.55,15.56,16.46,15.56,16.46,15.56,16.15,15.56,16.46,14.75,14.75,15.56,16.46,15.56,16.46,15.56,16.46,15.56,16.46,15.56,16.46,15.56,16.46,14.75,14.75,15.52,15.52,14.75,14.75,15.56,16.46,15.55,15.55,15.56,16.46,15.21,15.21,14.75,14.75,15.56,16.46,26.48,0.00,26.74,0.00,17.40,0.00,16.46,0.00,"Toe loop/holder, each"
E0952,UE,KE,D,IN,0.00,0.00,0.00,15.92,0.00,17.72,0.00,16.84,0.00,15.92,0.00,15.92,0.00,17.72,0.00,17.72,0.00,17.72,0.00,17.72,0.00,15.92,0.00,17.72,0.00,17.72,0.00,17.04,0.00,16.91,0.00,17.58,0.00,15.92,0.00,17.72,0.00,16.68,0.00,17.72,0.00,16.68,0.00,16.50,0.00,16.42,0.00,17.72,0.00,17.72,0.00,15.92,0.00,17.72,0.00,17.72,0.00,17.29,0.00,16.68,0.00,17.72,0.00,17.72,0.00,17.36,0.00,17.72,0.00,15.92,0.00,17.72,0.00,17.72,0.00,17.72,0.00,17.72,0.00,17.72,0.00,17.72,0.00,15.92,0.00,16.67,0.00,15.92,0.00,17.72,0.00,16.68,0.00,17.72,0.00,16.42,0.00,15.92,0.00,17.72,29.19,0.00,29.49,0.00,18.79,0.00,17.72,0.00,"Toe loop/holder, each"
E0952,UE,KU,D,IN,17.37,14.76,14.76,0.00,17.37,0.00,15.84,0.00,14.76,0.00,14.76,0.00,17.37,0.00,17.37,0.00,17.37,0.00,17.37,0.00,14.76,0.00,17.37,0.00,17.37,0.00,16.18,0.00,15.97,0.00,17.13,0.00,14.76,0.00,17.37,0.00,15.54,0.00,17.37,0.00,15.54,0.00,15.28,0.00,15.21,0.00,17.37,0.00,17.37,0.00,14.76,0.00,17.37,0.00,17.37,0.00,16.61,0.00,15.54,0.00,17.37,0.00,17.37,0.00,16.74,0.00,17.37,0.00,14.76,0.00,17.37,0.00,17.37,0.00,17.37,0.00,17.37,0.00,17.37,0.00,17.37,0.00,14.76,0.00,15.52,0.00,14.76,0.00,17.37,0.00,15.54,0.00,17.37,0.00,15.21,0.00,14.76,0.00,17.37,0.00,37.39,0.00,37.92,0.00,19.24,0.00,17.37,0.00,"Toe loop/holder, each"
E0953,NU,,D,IN,0.00,0.00,93.36,111.97,93.36,111.97,93.64,111.97,91.34,111.97,92.54,111.97,91.20,111.97,89.49,111.97,89.49,111.97,93.36,111.97,93.36,111.97,98.36,111.97,92.54,111.97,97.24,111.97,97.24,111.97,98.36,111.97,93.36,111.97,93.36,111.97,91.20,111.97,89.49,111.97,91.20,111.97,97.24,111.97,98.36,111.97,98.36,111.97,93.36,111.97,92.54,111.97,93.36,111.97,98.36,111.97,98.36,111.97,91.20,111.97,89.49,111.97,93.64,111.97,91.34,111.97,89.49,111.97,97.24,111.97,93.64,111.97,91.34,111.97,89.49,111.97,91.20,111.97,93.36,111.97,98.36,111.97,93.36,111.97,93.64,111.97,92.54,111.97,93.36,111.97,91.20,111.97,91.34,111.97,97.24,111.97,93.36,111.97,92.54,111.97,111.97,0.00,111.97,0.00,124.07,0.00,111.97,0.00,W/C LATERAL THIGH/KNEE SUP
E0953,NU,KE,D,IN,0.00,0.00,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,0.00,120.74,120.74,0.00,120.74,0.00,134.61,0.00,120.74,0.00,W/C LATERAL THIGH/KNEE SUP
E0953,NU,KU,D,IN,121.07,102.91,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,121.07,0.00,145.31,0.00,121.07,0.00,W/C LATERAL THIGH/KNEE SUP
E0953,RR,,D,IN,0.00,0.00,9.33,11.20,9.33,11.20,9.36,11.20,9.13,11.20,9.26,11.20,9.12,11.20,8.95,11.20,8.95,11.20,9.33,11.20,9.33,11.20,9.84,11.20,9.26,11.20,9.72,11.20,9.72,11.20,9.84,11.20,9.33,11.20,9.33,11.20,9.12,11.20,8.95,11.20,9.12,11.20,9.72,11.20,9.84,11.20,9.84,11.20,9.33,11.20,9.26,11.20,9.33,11.20,9.84,11.20,9.84,11.20,9.12,11.20,8.95,11.20,9.36,11.20,9.13,11.20,8.95,11.20,9.72,11.20,9.36,11.20,9.13,11.20,8.95,11.20,9.12,11.20,9.33,11.20,9.84,11.20,9.33,11.20,9.36,11.20,9.26,11.20,9.33,11.20,9.12,11.20,9.13,11.20,9.72,11.20,9.33,11.20,9.26,11.20,11.20,0.00,11.20,0.00,12.42,0.00,11.20,0.00,W/C LATERAL THIGH/KNEE SUP
E0953,RR,KE,D,IN,0.00,0.00,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,0.00,12.07,12.07,0.00,12.07,0.00,13.48,0.00,12.07,0.00,W/C LATERAL THIGH/KNEE SUP
