STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
ME,04333,202601
ME,04336,202601
ME,04338,202601
ME,04341,202601
ME,04342,202601
ME,04343,202601
ME,04344,202601
ME,04345,202601
ME,04346,202601
ME,04347,202601
ME,04348,202601
ME,04349,202601
ME,04350,202601
ME,04351,202601
ME,04352,202601
ME,04353,202601
ME,04354,202601
ME,04355,202601
ME,04358,202601
ME,04359,202601
ME,04360,202601
ME,04363,202601
ME,04364,202601
ME,04406,202601
ME,04408,202601
ME,04413,202601
ME,04414,202601
ME,04415,202601
ME,04416,202601
ME,04420,202601
ME,04421,202601
ME,04424,202601
ME,04426,202601
ME,04431,202601
ME,04438,202601
ME,04441,202601
ME,04442,202601
ME,04443,202601
ME,04451,202601
ME,04454,202601
ME,04462,202601
ME,04463,202601
ME,04464,202601
ME,04471,202601
ME,04472,202601
ME,04476,202601
ME,04478,202601
ME,04479,202601
ME,04481,202601
ME,04485,202601
ME,04490,202601
ME,04491,202601
ME,04492,202601
ME,04496,202601
ME,04497,202601
ME,04535,202601
ME,04537,202601
ME,04538,202601
ME,04539,202601
ME,04541,202601
ME,04543,202601
ME,04544,202601
ME,04547,202601
ME,04549,202601
ME,04551,202601
ME,04553,202601
ME,04554,202601
ME,04555,202601
ME,04556,202601
ME,04558,202601
ME,04563,202601
ME,04564,202601
ME,04568,202601
ME,04570,202601
ME,04571,202601
ME,04572,202601
ME,04573,202601
ME,04574,202601
ME,04575,202601
ME,04576,202601
ME,04578,202601
ME,04605,202601
ME,04606,202601
ME,04607,202601
ME,04609,202601
ME,04611,202601
ME,04612,202601
ME,04613,202601
ME,04614,202601
ME,04616,202601
ME,04617,202601
ME,04619,202601
ME,04622,202601
ME,04623,202601
ME,04624,202601
ME,04625,202601
ME,04626,202601
ME,04627,202601
ME,04628,202601
ME,04629,202601
ME,04630,202601
ME,04631,202601
ME,04634,202601
ME,04635,202601
ME,04637,202601
ME,04640,202601
ME,04642,202601
ME,04643,202601
ME,04644,202601
ME,04645,202601
ME,04646,202601
ME,04648,202601
ME,04649,202601
ME,04650,202601
ME,04652,202601
ME,04653,202601
ME,04654,202601
ME,04655,202601
ME,04657,202601
ME,04658,202601
ME,04660,202601
ME,04662,202601
ME,04664,202601
ME,04666,202601
ME,04667,202601
