2026 Parenteral and Enteral Nutrition Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
January 2026 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,MOD,MOD2,AL(NR),AL(R),AR(NR),AR(R),AZ(NR),AZ(R),CA(NR),CA(R),CO(NR),CO(R),CT(NR),CT(R),DC(NR),DC(R),DE(NR),DE(R),FL(NR),FL(R),GA(NR),GA(R),IA(NR),IA(R),ID(NR),ID(R),IL(NR),IL(R),IN(NR),IN(R),KS(NR),KS(R),KY(NR),KY(R),LA(NR),LA(R),MA(NR),MA(R),MD(NR),MD(R),ME(NR),ME(R),MI(NR),MI(R),MN(NR),MN(R),MO(NR),MO(R),MS(NR),MS(R),MT(NR),MT(R),NC(NR),NC(R),ND(NR),ND(R),NE(NR),NE(R),NH(NR),NH(R),NJ(NR),NJ(R),NM(NR),NM(R),NV(NR),NV(R),NY(NR),NY(R),OH(NR),OH(R),OK(NR),OK(R),OR(NR),OR(R),PA(NR),PA(R),RI(NR),RI(R),SC(NR),SC(R),SD(NR),SD(R),TN(NR),TN(R),TX(NR),TX(R),UT(NR),UT(R),VA(NR),VA(R),VT(NR),VT(R),WA(NR),WA(R),WI(NR),WI(R),WV(NR),WV(R),WY(NR),WY(R),AK(NR),AK(R),HI(NR),HI(R),PR(NR),PR(R),VI(NR),VI(R),Desc
B4150,,,0.49,0.71,0.49,0.71,0.48,0.71,0.47,0.71,0.48,0.71,0.47,0.71,0.46,0.71,0.46,0.71,0.49,0.71,0.49,0.71,0.48,0.71,0.48,0.71,0.48,0.71,0.48,0.71,0.48,0.71,0.49,0.71,0.49,0.71,0.47,0.71,0.46,0.71,0.47,0.71,0.48,0.71,0.48,0.71,0.48,0.71,0.49,0.71,0.48,0.71,0.49,0.71,0.48,0.71,0.48,0.71,0.47,0.71,0.46,0.71,0.48,0.71,0.47,0.71,0.46,0.71,0.48,0.71,0.48,0.71,0.47,0.71,0.46,0.71,0.47,0.71,0.49,0.71,0.48,0.71,0.49,0.71,0.48,0.71,0.48,0.71,0.49,0.71,0.47,0.71,0.47,0.71,0.48,0.71,0.49,0.71,0.48,0.71,0.72,0,0.72,0,0.72,0,0.72,0,Ef complet w/intact nutrient
B4152,,,0.4,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.41,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.41,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.4,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.4,0.58,0.41,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.39,0.58,0.39,0.58,0.4,0.58,0.39,0.58,0.39,0.58,0.39,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.4,0.58,0.39,0.58,0.41,0.58,0.4,0.58,0.4,0.58,0.39,0.58,0.4,0.58,0.4,0.58,0.41,0.58,0.59,0,0.59,0,0.59,0,0.59,0,Ef calorie dense>/=1.5kcal
B4153,,,1.55,2.1,1.55,2.1,1.51,2.1,1.59,2.1,1.59,2.1,1.45,2.1,1.41,2.1,1.41,2.1,1.55,2.1,1.55,2.1,1.57,2.1,1.59,2.1,1.51,2.1,1.51,2.1,1.57,2.1,1.55,2.1,1.55,2.1,1.45,2.1,1.41,2.1,1.45,2.1,1.51,2.1,1.57,2.1,1.57,2.1,1.55,2.1,1.59,2.1,1.55,2.1,1.57,2.1,1.57,2.1,1.45,2.1,1.41,2.1,1.51,2.1,1.59,2.1,1.41,2.1,1.51,2.1,1.51,2.1,1.59,2.1,1.41,2.1,1.45,2.1,1.55,2.1,1.57,2.1,1.55,2.1,1.51,2.1,1.59,2.1,1.55,2.1,1.45,2.1,1.59,2.1,1.51,2.1,1.55,2.1,1.59,2.1,2.23,0,2.23,0,2.23,0,2.23,0,Ef hydrolyzed/amino acids
B4154,,,0.85,1.26,0.85,1.26,0.85,1.26,0.83,1.26,0.86,1.26,0.82,1.26,0.79,1.26,0.79,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.86,1.26,0.82,1.26,0.82,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.82,1.26,0.79,1.26,0.82,1.26,0.82,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.86,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.82,1.26,0.79,1.26,0.85,1.26,0.83,1.26,0.79,1.26,0.82,1.26,0.85,1.26,0.83,1.26,0.79,1.26,0.82,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.85,1.26,0.86,1.26,0.85,1.26,0.82,1.26,0.83,1.26,0.82,1.26,0.85,1.26,0.86,1.26,1.27,0,1.27,0,1.27,0,1.27,0,Ef spec metabolic noninherit
B4155,,,0.91,1.13,0.91,1.13,0.94,1.13,0.92,1.13,1,1.13,0.96,1.13,0.9,1.13,0.9,1.13,0.91,1.13,0.91,1.13,0.91,1.13,1,1.13,0.88,1.13,0.88,1.13,0.91,1.13,0.91,1.13,0.91,1.13,0.96,1.13,0.9,1.13,0.96,1.13,0.88,1.13,0.91,1.13,0.91,1.13,0.91,1.13,1,1.13,0.91,1.13,0.91,1.13,0.91,1.13,0.96,1.13,0.9,1.13,0.94,1.13,0.92,1.13,0.9,1.13,0.88,1.13,0.94,1.13,0.92,1.13,0.9,1.13,0.96,1.13,0.91,1.13,0.91,1.13,0.91,1.13,0.94,1.13,1,1.13,0.91,1.13,0.96,1.13,0.92,1.13,0.88,1.13,0.91,1.13,1,1.13,1.23,0,1.23,0,1.23,0,1.23,0,Ef incomplete/modular
B4164,,,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,25.15,0,Parenteral 50% dextrose solu
B4168,,,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,36.68,0,Parenteral sol amino acid 3.
B4176,,,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,70.96,0,Parenteral sol amino acid 7-
B4178,,,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,85.16,0,Parenteral sol amino acid >
B4180,,,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,36.11,0,Parenteral sol carb > 50%
